"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","OD2","OD3","REM","EQD"
"06331099999","2023-01-03T17:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0100,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0120,1,999","4,99,0120,1,999","5,99,0100,1,999","SYN04006331 46/// /1810 333 91012 91112 91210=",
"06331099999","2023-01-03T18:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0100,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0130,1,999","5,99,0100,1,999","SYN05606331 46/// /1810 333 91013 91113 91210 555 51113 51210=",
"06331099999","2023-01-03T19:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0110,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0150,1,999","4,99,0140,1,999","5,99,0120,1,999","SYN04006331 46/// /1811 333 91014 91115 91212=",
"06331099999","2023-01-03T20:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","190,1,N,0120,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0180,1,999","4,99,0180,1,999","5,99,0120,1,999","SYN04006331 46/// /1912 333 91018 91118 91212=",
"06331099999","2023-01-03T21:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0120,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0180,1,999","4,99,0150,1,999","5,99,0120,1,999","SYN05606331 46/// /1812 333 91015 91118 91212 555 51116 51212=",
"06331099999","2023-01-03T22:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","190,1,N,0130,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0170,1,999","4,99,0170,1,999","5,99,0130,1,999","SYN04006331 46/// /1913 333 91017 91117 91213=",
"06331099999","2023-01-03T23:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","190,1,N,0140,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0170,1,999","4,99,0160,1,999","5,99,0140,1,999","SYN04006331 46/// /1914 333 91016 91117 91214=",
"06331099999","2023-01-04T00:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","190,1,N,0130,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0180,1,999","4,99,0170,1,999","5,99,0140,1,999","SYN05606331 46/// /1913 333 91017 91118 91214 555 51117 51213=",
"06331099999","2023-01-04T01:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0140,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0180,1,999","4,99,0170,1,999","5,99,0140,1,999","SYN04006331 46/// /2014 333 91017 91118 91214=",
"06331099999","2023-01-04T02:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0130,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0190,1,999","4,99,0170,1,999","5,99,0140,1,999","SYN04006331 46/// /2013 333 91017 91119 91214=",
