"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"12960099999","2023-01-03T02:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0039,1","+0038,1","10263,1",,,,,"99999,9,10122,1","3,1,001,1,+999,9",,,"SYN05812960 46/// /0000 10039 20038 30122 40263 53001 555 10099=",
"12960099999","2023-01-03T03:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0029,1","+0028,1","10263,1",,,,,"99999,9,10122,1","2,1,001,1,+999,9",,,"SYN05812960 46/// /0000 10029 20028 30122 40263 52001 555 10099=",
"12960099999","2023-01-03T04:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0017,1","+0016,1","10267,1",,,,,"99999,9,10125,1","2,1,004,1,+999,9",,,"SYN06412960 46/// /0000 10017 20016 30125 40267 52004 555 10099 /7594=",
"12960099999","2023-01-03T05:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0006,1","+0005,1","10271,1",,,,,"99999,9,10128,1","3,1,006,1,+999,9",,,"SYN05812960 46/// /0000 10006 20005 30128 40271 53006 555 10099=",
"12960099999","2023-01-03T06:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0003,1","-0004,1","10274,1",,,"240,N,-0003,1",,"99999,9,10131,1","2,1,009,1,+999,9",,,"SYN06812960 36/// /0000 11003 21004 30131 40274 52009 333 21003 555 10099=",
"12960099999","2023-01-03T07:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","330,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0021,1","+0021,1","10281,1",,,,,"99999,9,10139,1","3,1,014,1,+999,9",,,"SYN05812960 46/// /3302 10021 20021 30139 40281 53014 555 10100=",
"12960099999","2023-01-03T08:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0029,1","+0029,1","10286,1",,,,,"99999,9,10144,1","2,1,016,1,+999,9",,,"SYN05812960 46/// /3201 10029 20029 30144 40286 52016 555 10100=",
"12960099999","2023-01-03T09:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","320,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0038,1","+0038,1","10289,1",,,,,"99999,9,10148,1","1,1,017,1,+999,9",,,"SYN05812960 46/// /3202 10038 20038 30148 40289 51017 555 10100=",
"12960099999","2023-01-03T10:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","330,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0046,1","+0046,1","10292,1",,,,,"99999,9,10151,1","1,1,012,1,+999,9",,,"SYN05812960 46/// /3301 10046 20046 30151 40292 51012 555 10100=",
"12960099999","2023-01-03T11:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","320,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0052,1","+0052,1","10288,1",,,,,"99999,9,10148,1","9,9,004,1,+999,9",,,"SYN06412960 46/// /3202 10052 20052 30148 40288 50004 555 10100 /7611=",
"12960099999","2023-01-03T12:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","330,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0072,1","+0061,1","10283,1",,,,,"99999,9,10144,1","8,1,004,1,+999,9",,,"SYN05812960 36/// /3302 10072 20061 30144 40283 58004 555 10093=",
"12960099999","2023-01-03T13:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0092,1","+0059,1","10279,1",,,,,"99999,9,10141,1","7,1,010,1,+999,9",,,"SYN05812960 46/// /0201 10092 20059 30141 40279 57010 555 10080=",
"12960099999","2023-01-03T14:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0096,1","+0063,1","10279,1",,,,,"99999,9,10141,1","6,1,007,1,+999,9",,,"SYN05812960 46/// /0000 10096 20063 30141 40279 56007 555 10080=",
"12960099999","2023-01-03T15:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0087,1","+0058,1","10281,1",,,,,"99999,9,10142,1","5,1,002,1,+999,9",,,"SYN05812960 46/// /0000 10087 20058 30142 40281 55002 555 10082=",
"12960099999","2023-01-03T16:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0059,1","+0042,1","10287,1",,,,,"99999,9,10147,1","3,1,006,1,+999,9",,,"SYN05812960 46/// /0000 10059 20042 30147 40287 53006 555 10089=",
"12960099999","2023-01-03T17:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0047,1","+0040,1","10292,1",,,,,"99999,9,10151,1","2,1,010,1,+999,9",,,"SYN05812960 46/// /0000 10047 20040 30151 40292 52010 555 10095=",
"12960099999","2023-01-03T18:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0042,1","+0038,1","10295,1",,,"120,M,+0096,1",,"99999,9,10154,1","1,1,012,1,+999,9",,,"SYN06812960 36/// /0000 10042 20038 30154 40295 51012 333 10096 555 10097=",
"12960099999","2023-01-03T19:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0039,1","+0035,1","10297,1",,,,,"99999,9,10156,1","1,1,009,1,+999,9",,,"SYN05812960 46/// /0000 10039 20035 30156 40297 51009 555 10097=",
"12960099999","2023-01-03T20:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0043,1","+0040,1","10298,1",,,,,"99999,9,10157,1","1,1,006,1,+999,9",,,"SYN05812960 46/// /0000 10043 20040 30157 40298 51006 555 10098=",
"12960099999","2023-01-03T21:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","300,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0045,1","+0039,1","10302,1",,,,,"99999,9,10161,1","2,1,007,1,+999,9",,,"SYN05812960 46/// /3001 10045 20039 30161 40302 52007 555 10096=",
"12960099999","2023-01-03T22:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","310,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0068,1","+0059,1","10304,1",,,,,"99999,9,10164,1","2,1,008,1,+999,9",,,"SYN05812960 46/// /3101 10068 20059 30164 40304 52008 555 10094=",
"12960099999","2023-01-03T23:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","310,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0071,1","+0060,1","10306,1",,,,,"99999,9,10166,1","1,1,009,1,+999,9",,,"SYN05812960 46/// /3101 10071 20060 30166 40306 51009 555 10093=",
"12960099999","2023-01-04T00:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0065,1","+0059,1","10306,1",,,,,"99999,9,10166,1","1,1,005,1,+999,9",,,"SYN05812960 36/// /0000 10065 20059 30166 40306 51005 555 10096=",
"12960099999","2023-01-04T01:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","310,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0070,1","+0063,1","10307,1",,,,,"99999,9,10167,1","2,1,003,1,+999,9",,,"SYN06412960 46/// /3101 10070 20063 30167 40307 52003 555 10095 6991/=",
"12960099999","2023-01-04T02:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","330,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0069,1","+0055,1","10309,1",,,,,"99999,9,10169,1","3,1,003,1,+999,9",,,"SYN05812960 46/// /3301 10069 20055 30169 40309 53003 555 10091=",
"12960099999","2023-01-04T03:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","340,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0067,1","+0050,1","10309,1",,,,,"99999,9,10169,1","2,1,003,1,+999,9",,,"SYN05812960 46/// /3402 10067 20050 30169 40309 52003 555 10089=",
"12960099999","2023-01-04T04:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","330,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0068,1","+0046,1","10307,1",,,,,"99999,9,10167,1","9,9,000,1,+999,9",,,"SYN06412960 46/// /3302 10068 20046 30167 40307 50000 555 10086 /7625=",
"12960099999","2023-01-04T05:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","360,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0054,1","+0037,1","10309,1",,,,,"99999,9,10168,1","7,1,001,1,+999,9",,,"SYN05812960 46/// /3601 10054 20037 30168 40309 57001 555 10089=",
