"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","REM","EQD"
"03396199999","2023-07-15T19:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0188,1","+0116,1","09945,1","1,1,007,1,+999,9","SYN06603380 15194 99536 10001 46/// /21// 10188 20116 49945 51007 22200=",
"03396199999","2023-07-15T20:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0181,1","+0127,1","09946,1","1,1,006,1,+999,9","SYN06603380 15204 99536 10001 46/// /21// 10181 20127 49946 51006 22200=",
"03396199999","2023-07-15T21:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0170,1","+9999,9","09949,1","3,1,006,1,+999,9","SYN06603380 15214 99536 10001 46/// /21// 10170 20171 49949 53006 22200=","Q0117.1  2ATOD  "
"03396199999","2023-07-15T22:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0162,1","+9999,9","09950,1","2,1,005,1,+999,9","SYN06603380 15224 99536 10001 46/// /21// 10162 20163 49950 52005 22200=",
"03396199999","2023-07-15T23:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0161,1","+9999,9","09953,1","2,1,008,1,+999,9","SYN06603380 15234 99536 10001 46/// /21// 10161 20162 49953 52008 22200=",
"03396199999","2023-07-16T00:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0162,1","+9999,9","09956,1","2,1,007,1,+999,9","SYN06603380 16004 99536 10001 46/// /21// 10162 20163 49956 52007 22200=",
"03396199999","2023-07-16T01:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0163,1","+9999,9","09960,1","2,1,010,1,+999,9","SYN06603380 16014 99536 10001 46/// /22// 10163 20164 49960 52010 22200=",
"03396199999","2023-07-16T02:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0164,1","+9999,9","09964,1","2,1,011,1,+999,9","SYN06603380 16024 99536 10001 46/// /22// 10164 20166 49964 52011 22200=",
"03396199999","2023-07-16T03:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0161,1","+9999,9","09969,1","2,1,013,1,+999,9","SYN06603380 16034 99536 10001 46/// /23// 10161 20162 49969 52013 22200=",
"03396199999","2023-07-16T04:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0158,1","+9999,9","09978,1","2,1,018,1,+999,9","SYN06603380 16044 99536 10001 46/// /23// 10158 20160 49978 52018 22200=",
"03396199999","2023-07-16T05:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0156,1","+9999,9","09989,1","2,1,025,1,+999,9","SYN06603380 16054 99536 10001 46/// /23// 10156 20157 49989 52025 22200=",
"03396199999","2023-07-16T06:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0158,1","+9999,9","09999,1","2,1,030,1,+999,9","SYN06603380 16064 99536 10001 46/// /23// 10158 20159 49999 52030 22200=",
"03396199999","2023-07-16T07:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0159,1","+9999,9","10008,1","2,1,031,1,+999,9","SYN06603380 16074 99536 10001 46/// /23// 10159 20161 40008 52031 22200=",
"03396199999","2023-07-16T08:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0166,1","+9999,9","10018,1","2,1,029,1,+999,9","SYN06603380 16084 99536 10001 46/// /23// 10166 20167 40018 52029 22200=",
