"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","AW3","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"42080199999","2023-01-06T06:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0031,1","22000,1,9,N","002500,1,9,9","+0210,1","+0140,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET057METAR VABV 060600Z 36006KT 2500 FU NSC 21/14 Q1020 NOSIG=",
"42080199999","2023-01-06T06:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0031,1","22000,1,9,N","002500,1,9,9","+0220,1","+0130,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET057METAR VABV 060630Z 35006KT 2500 FU NSC 22/13 Q1020 NOSIG=",
"42080199999","2023-01-06T07:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0031,1","22000,1,9,N","003000,1,9,9","+0220,1","+0140,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET057METAR VABV 060700Z 34006KT 3000 FU NSC 22/14 Q1019 NOSIG=",
"42080199999","2023-01-06T07:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0031,1","22000,1,9,N","003000,1,9,9","+0230,1","+0140,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET057METAR VABV 060730Z 34006KT 3000 FU NSC 23/14 Q1019 NOSIG=",
"42080199999","2023-01-06T08:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0036,1","22000,1,9,N","003000,1,9,9","+0230,1","+0150,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET057METAR VABV 060800Z 34007KT 3000 FU NSC 23/15 Q1018 NOSIG=",
"42080199999","2023-01-06T09:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0041,1","22000,1,9,N","003000,1,9,9","+0240,1","+0150,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9","04,1",,,,"MET051METAR VABV 060900Z 34008KT 3000 FU NSC 24/15 Q1017=",
"42080199999","2023-01-06T10:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0041,1","22000,1,9,N","003000,1,9,9","+0240,1","+0160,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 061000Z 34008KT 3000 FU NSC 24/16 Q1016=",
"42080199999","2023-01-06T10:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","330,1,N,0041,1","22000,1,9,N","003000,1,9,9","+0240,1","+0160,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 061030Z 33008KT 3000 FU NSC 24/16 Q1016=",
"42080199999","2023-01-06T12:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0041,1","22000,1,9,N","003000,1,9,9","+0240,1","+0160,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 061200Z 32008KT 3000 FU NSC 24/16 Q1016=",
"42080199999","2023-01-07T03:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0015,1","22000,1,9,N","001200,1,9,9","+0180,1","+0160,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","05,1",,,,"MET051METAR VABV 070300Z 32003KT 1200 HZ NSC 18/16 Q1019=",
"42080199999","2023-01-07T06:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","020,1,N,0021,1","22000,1,9,N","002500,1,9,9","+0240,1","+0160,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET051METAR VABV 070600Z 02004KT 2500 FU NSC 24/16 Q1019=",
"42080199999","2023-01-07T09:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0021,1","22000,1,9,N","003000,1,9,9","+0270,1","+0180,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9","04,1",,,,"MET051METAR VABV 070900Z 36004KT 3000 FU NSC 27/18 Q1017=",
"42080199999","2023-01-07T12:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0021,1","22000,1,9,N","003000,1,9,9","+0270,1","+0190,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10150,1,99999,9","04,1",,,,"MET051METAR VABV 071200Z 34004KT 3000 FU NSC 27/19 Q1015=",
"42080199999","2023-01-07T13:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0015,1","22000,1,9,N","002500,1,9,9","+0250,1","+0190,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 071330Z 32003KT 2500 FU NSC 25/19 Q1016=",
"42080199999","2023-01-07T14:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0015,1","22000,1,9,N","002500,1,9,9","+0250,1","+0200,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9","04,1",,,,"MET051METAR VABV 071400Z 32003KT 2500 FU NSC 25/20 Q1017=",
"42080199999","2023-01-08T02:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","270,1,N,0021,1","22000,1,9,N","000800,1,9,9","+0170,1","+0150,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","44,1",,,,"MET055METAR COR VABV 080230Z 27004KT 0800 FG NSC 17/15 Q1018=",
"42080199999","2023-01-08T03:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","290,1,N,0015,1","22000,1,9,N","001000,1,9,9","+0180,1","+0160,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","10,1",,,,"MET051METAR VABV 080300Z 29003KT 1000 BR NSC 18/16 Q1018=",
"42080199999","2023-01-08T04:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0021,1","22000,1,9,N","001500,1,9,9","+0200,1","+0170,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","10,1",,,,"MET051METAR VABV 080400Z 35004KT 1500 BR NSC 20/17 Q1019=",
