"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OC1","OD1","REM","EQD"
"01042099999","2023-02-23T17:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","195,1,N,0152,1","99999,9,9,9","999999,9,9,9","-0039,1","-0057,1","99999,9","120,M,-0037,1","120,N,-0044,1","0200,1","9,99,0156,1,999","SYN004BUFR",
"01042099999","2023-03-01T11:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","224,1,N,0120,1","99999,9,9,9","999999,9,9,9","-0007,1","-0010,1","99999,9","120,M,-0008,1","120,N,-0016,1","0138,1","9,99,0120,1,999","SYN004BUFR",
"01042099999","2023-03-01T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","234,1,N,0105,1","99999,9,9,9","999999,9,9,9","-0007,1","-0009,1","99999,9","120,M,-0007,1","120,N,-0009,1","0133,1","9,99,0123,1,999","SYN004BUFR",
"01042099999","2023-03-14T14:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","066,1,N,0089,1","99999,9,9,9","999999,9,9,9","-0069,1","+9999,9","99999,9","120,M,-0065,1","120,N,-0072,1","0099,1","9,99,0092,1,999","SYN004BUFR",
"01042099999","2023-03-20T16:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","057,1,N,0077,1","99999,9,9,9","999999,9,9,9","-0055,1","+9999,9","99999,9","120,M,-0051,1","120,N,-0056,1","0097,1","9,99,0090,1,999","SYN004BUFR",
"01042099999","2023-03-20T17:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","120,M,-0054,1","120,N,-0057,1",,"9,99,0077,1,999","SYN004BUFR","Q018     2WGOSPD"
"01042099999","2023-03-20T18:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","077,1,N,0059,1","99999,9,9,9","999999,9,9,9","-0060,1","+9999,9","99999,9","120,M,-0042,1","120,N,-0066,1","0072,1","9,99,0121,1,999","SYN004BUFR",
"01042099999","2023-03-24T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","049,1,N,0188,1","99999,9,9,9","999999,9,9,9","-0072,1","+9999,9","99999,9","120,M,-0070,1","120,N,-0075,1","0263,1","9,99,0237,1,999","SYN004BUFR",
"01042099999","2023-03-24T13:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","056,1,N,0142,1","99999,9,9,9","999999,9,9,9","-0075,1","+9999,9","99999,9","120,M,-0072,1","120,N,-0077,1","0231,1","9,99,0193,1,999","SYN004BUFR",
"01042099999","2023-04-25T10:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","236,1,N,0069,1","99999,9,9,9","999999,9,9,9","-0027,1","+9999,9","99999,9","120,M,-0024,1","120,N,-0031,1","0080,1","9,99,0072,1,999","SYN004BUFR",
"01042099999","2023-05-09T18:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","124,1,N,0056,1","99999,9,9,9","999999,9,9,9","+0050,1","+9999,9","99999,9","120,M,+0052,1","120,N,+0022,1","0078,1","9,99,0102,1,999","SYN004BUFR",
"01042099999","2023-05-11T04:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","238,1,N,0124,1","99999,9,9,9","999999,9,9,9","+0035,1","+9999,9","99999,9","120,M,+0038,1","120,N,+0033,1","0138,1","9,99,0125,1,999","SYN004BUFR",
"01042099999","2023-05-13T06:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","221,1,N,0127,1","99999,9,9,9","999999,9,9,9","+0035,1","+9999,9","99999,9","120,M,+0034,1","120,N,+0022,1","0150,1","9,99,0129,1,999","SYN004BUFR",
"01042099999","2023-05-15T17:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","184,1,N,0048,1","99999,9,9,9","999999,9,9,9","+0117,1","+9999,9","99999,9","120,M,+0124,1","120,N,+0118,1","0079,1","9,99,0055,1,999","SYN004BUFR",
"01042099999","2023-05-25T04:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","185,1,N,0090,1","99999,9,9,9","999999,9,9,9","+0045,1","+9999,9","99999,9","120,M,+0047,1","120,N,+0039,1","0119,1","9,99,0097,1,999","SYN004BUFR",
"01042099999","2023-05-25T05:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","186,1,N,0089,1","99999,9,9,9","999999,9,9,9","+0047,1","+9999,9","99999,9","120,M,+0050,1","120,N,+0044,1","0130,1","9,99,0113,1,999","SYN004BUFR",
"01042099999","2023-05-25T06:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","179,1,N,0106,1","99999,9,9,9","999999,9,9,9","+0055,1","+9999,9","99999,9","120,M,+0058,1","120,N,+0038,1","0135,1","9,99,0113,1,999","SYN004BUFR",
"01042099999","2023-06-04T18:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","185,1,N,0071,1","99999,9,9,9","999999,9,9,9","+0041,1","+9999,9","99999,9","120,M,+0045,1","120,N,+0019,1","0095,1","9,99,0095,1,999","SYN004BUFR",
"01042099999","2023-06-10T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","223,1,N,0021,1","99999,9,9,9","999999,9,9,9","+0092,1","+9999,9","99999,9","120,M,+0092,1","120,N,+0080,1","0055,1","9,99,0039,1,999","SYN004BUFR",
"01042099999","2023-06-10T21:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","206,1,N,0045,1","99999,9,9,9","999999,9,9,9","+0080,1","+9999,9","99999,9","120,M,+0083,1","120,N,+0079,1","0053,1","9,99,0046,1,999","SYN004BUFR",
