"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42860099999","2023-01-25T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0168,1","+0158,1","10133,1",,,,"08,1,+01250,1,07,1",,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,01250,1,99,9,99,9","240,N,+0155,1","99999,9,09392,1","9,9,999,9,+003,1",,"SYN07442860 32696 81401 10168 20158 39392 40133 887// 333 20155 58003 555 10000=",
"42860099999","2023-01-25T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0264,1","+0161,1","10077,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0278,1","99999,9,09363,1","9,9,999,9,+005,1",,"SYN06442860 32996 62301 10264 20161 39363 40077 84065 333 10278 58005=",
"42860099999","2023-01-26T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","090,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0180,1","+0164,1","10128,1",,,,"08,1,+01250,1,07,1",,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,01250,1,99,9,99,9","240,N,+0160,1","99999,9,09393,1","9,9,999,9,+001,1",,"SYN07442860 32696 80901 10180 20164 39393 40128 887// 333 20160 58001 555 10000=",
"42860099999","2023-01-26T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0248,1","+0152,1","10090,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0257,1","99999,9,09371,1","9,9,999,9,+008,1",,"SYN06442860 32996 61401 10248 20152 39371 40090 84065 333 10257 58008=",
"42860099999","2023-01-27T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0172,1","+0166,1","10151,1",,,,"08,1,+01250,1,07,1",,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,01250,1,99,9,99,9","240,N,+0162,1","99999,9,09411,1","9,9,999,9,+017,1",,"SYN07442860 32696 80501 10172 20166 39411 40151 887// 333 20162 58017 555 10000=",
"42860099999","2023-01-27T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","150,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0264,1","+0153,1","10089,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0275,1","99999,9,09375,1","9,9,999,9,+004,1",,"SYN06442860 32996 41501 10264 20153 39375 40089 82065 333 10275 58004=",
"42860099999","2023-01-28T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0158,1","+0151,1","10145,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0142,1","99999,9,09401,1","9,9,999,9,-010,1","42,1","SYN07442860 31996 00501 10158 20151 39401 40145 74243 333 20142 59010 555 10000=",
"42860099999","2023-01-28T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","090,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0274,1","+0117,1","10068,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","03,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0287,1","99999,9,09358,1","9,9,999,9,-017,1",,"SYN06442860 32996 30901 10274 20117 39358 40068 82065 333 10287 59017=",
"42860099999","2023-01-29T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","090,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0164,1","+0151,1","10116,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0148,1","99999,9,09377,1","9,9,999,9,-024,1","42,1","SYN07442860 31996 00901 10164 20151 39377 40116 74243 333 20148 59024 555 10000=",
"42860099999","2023-01-29T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0268,1","+0126,1","10059,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0282,1","99999,9,09347,1","9,9,999,9,-011,1",,"SYN06442860 32996 41401 10268 20126 39347 40059 82065 333 10282 59011=",
"42860099999","2023-01-30T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0174,1","+0158,1","10144,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,N,+0155,1","99999,9,09404,1","9,9,999,9,+027,1",,"SYN07442860 32996 40501 10174 20158 39404 40144 82065 333 20155 58027 555 10000=",
"42860099999","2023-01-30T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","180,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0274,1","+0113,1","10089,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0285,1","99999,9,09378,1","9,9,999,9,+031,1",,"SYN06442860 32996 41801 10274 20113 39378 40089 82065 333 10285 58031=",
