"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM","EQD"
"99729099999","2023-07-15T21:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0264,1","+9999,9","10126,1","8,1,010,1,+999,9","5,99,0062,1,999","+258,1","SYN080BRHC3 46/// /1608 10264 40126 58010 92100 222// 00258 333 91212 555 11008 22009=",
"99729099999","2023-07-15T22:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0267,1","+9999,9","10127,1","6,1,008,1,+999,9",,"+259,1","SYN054BRHC3 46/// ///// 10267 40127 56008 92200 222// 00259=",
"99729099999","2023-07-15T23:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0265,1","+9999,9","10130,1","5,1,000,1,+999,9","5,99,0067,1,999","+256,1","SYN080BRHC3 46/// /2009 10265 40130 55000 92300 222// 00256 333 91213 555 11009 22010=",
"99729099999","2023-07-16T00:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","180,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0259,1","+9999,9","10129,1","2,1,003,1,+999,9","5,99,0041,1,999","+249,1","SYN080BRHC3 46/// /1805 10259 40129 52003 90000 222// 00249 333 91208 555 11005 22006=",
"99729099999","2023-07-16T01:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","190,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0259,1","+9999,9","10130,1","1,1,003,1,+999,9","5,99,0046,1,999","+248,1","SYN080BRHC3 46/// /1906 10259 40130 51003 90100 222// 00248 333 91209 555 11006 22007=",
"99729099999","2023-07-16T02:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0256,1","+9999,9","10130,1","4,1,000,1,+999,9","5,99,0051,1,999","+256,1","SYN080BRHC3 46/// /1607 10256 40130 54000 90200 222// 00256 333 91210 555 11008 22008=",
"99729099999","2023-07-16T03:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","180,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0256,1","+9999,9","10129,1","4,1,000,1,+999,9","5,99,0041,1,999","+262,1","SYN080BRHC3 46/// /1806 10256 40129 54000 90300 222// 00262 333 91208 555 11006 22006=",
"99729099999","2023-07-16T04:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","180,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0258,1","+9999,9","10128,1","4,1,000,1,+999,9","5,99,0072,1,999","+263,1","SYN080BRHC3 46/// /1809 10258 40128 54000 90400 222// 00263 333 91214 555 11010 22011=",
"99729099999","2023-07-16T05:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0255,1","+9999,9","10125,1","8,1,005,1,+999,9","5,99,0057,1,999","+262,1","SYN080BRHC3 46/// /1907 10255 40125 58005 90500 222// 00262 333 91211 555 11007 22008=",
"99729099999","2023-07-16T06:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","170,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0254,1","+9999,9","10120,1","8,1,009,1,+999,9","5,99,0067,1,999","+263,1","SYN080BRHC3 46/// /1711 10254 40120 58009 90600 222// 00263 333 91213 555 11011 22012=",
